frames,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,177.12656150240647,170.07903910682833,180.0,175.0208941560017,175.05814495082666,177.7630209365623,177.29512401426436,180.0,180.0,177.51044707800085,174.8055710922652,169.93931020467704,180.0,180.0,175.04972776570824,180.0,169.69515353123398,177.51044707800085,159.290962408351,180.0
2,180.0,167.20560060923484,180.0,180.0,170.07903910682833,180.0,175.05814495082666,180.0,180.0,177.51044707800085,174.8055710922652,169.93931020467704,180.0,177.00965502483461,177.00965502483461,172.17628926811474,172.56859202882748,174.8055710922652,161.99583839408663,176.7845160082518
3,164.74488129694222,162.25532837494308,180.0,180.0,170.07903910682833,180.0,175.05814495082666,180.0,180.0,177.51044707800085,177.51044707800085,167.23443421894137,180.0,180.0,177.00965502483461,178.04007274087365,169.69515353123398,174.8055710922652,161.99583839408663,180.0
4,174.88958243896877,167.20560060923484,180.0,177.51044707800085,174.8055710922652,177.7630209365623,175.05814495082666,180.0,180.0,177.51044707800085,177.51044707800085,167.23443421894137,180.0,180.0,177.00965502483461,178.04007274087365,169.69515353123398,174.8055710922652,161.99583839408663,180.0
5,177.12656150240647,167.3741631210927,177.29512401426436,177.51044707800085,174.8055710922652,177.7630209365623,177.7630209365623,174.8055710922652,180.0,180.0,174.8055710922652,169.93931020467704,180.0,178.13737905069334,180.0,176.91234871501493,172.18470645323313,177.51044707800085,158.19859051364818,178.60281897270363
6,169.69515353123398,167.20560060923484,180.0,177.51044707800085,174.8055710922652,177.7630209365623,177.7630209365623,177.29512401426436,177.51044707800085,180.0,177.51044707800085,167.23443421894137,180.0,180.0,175.04972776570824,178.04007274087365,167.7352262721076,174.8055710922652,161.99583839408663,180.0
7,162.25532837494308,162.25532837494308,180.0,177.29512401426436,169.6111421845304,177.7630209365623,177.7630209365623,174.8055710922652,180.0,177.51044707800085,180.0,167.23443421894137,180.0,180.0,175.04972776570824,176.91234871501493,166.6075022462489,180.0,156.80140948635182,180.0
8,169.69515353123398,177.51044707800085,180.0,180.0,172.31601817026603,177.7630209365623,177.7630209365623,174.8055710922652,180.0,180.0,174.8055710922652,169.93931020467704,180.0,178.13737905069334,176.91234871501493,175.04972776570824,164.74488129694222,180.0,156.80140948635182,180.0
9,177.12656150240647,167.3741631210927,180.0,177.29512401426436,175.0208941560017,180.0,177.29512401426436,177.29512401426436,180.0,180.0,175.05814495082666,172.17628926811474,180.0,178.13737905069334,176.91234871501493,176.91234871501493,166.6075022462489,174.8055710922652,161.99583839408663,180.0
10,177.7630209365623,169.6111421845304,177.29512401426436,177.29512401426436,167.3741631210927,177.7630209365623,177.29512401426436,180.0,177.51044707800085,180.0,174.8055710922652,169.93931020467704,180.0,177.00965502483461,180.0,180.0,167.7352262721076,177.51044707800085,159.290962408351,176.7845160082518
11,180.0,172.31601817026603,180.0,177.29512401426436,169.6111421845304,180.0,180.0,177.29512401426436,177.51044707800085,180.0,174.8055710922652,169.93931020467704,180.0,180.0,175.04972776570824,178.04007274087365,167.7352262721076,177.51044707800085,162.50644640009918,180.0
